code_module,code_presentation,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,target,total_clicks,active_days,unique_vle_sites,active_weeks
AAA,2013J,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,1,748.0,33.0,44.0,5.0
AAA,2013J,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,1,1308.0,72.0,77.0,11.0
AAA,2013J,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,1,1839.0,101.0,79.0,15.0
AAA,2013J,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,1,907.0,58.0,62.0,9.0
AAA,2013J,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,1,1687.0,103.0,72.0,15.0
AAA,2013J,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,1,1259.0,77.0,51.0,11.0
AAA,2013J,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,1,1136.0,81.0,53.0,12.0
AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,1,1482.0,98.0,64.0,14.0
AAA,2013J,M,North Region,Post Graduate Qualification,?,55<=,0,60,N,1,2800.0,121.0,80.0,18.0
AAA,2013J,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,1,1115.0,80.0,59.0,12.0
AAA,2013J,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,1,1449.0,99.0,61.0,15.0
AAA,2013J,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,1,950.0,47.0,44.0,7.0
AAA,2013J,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,1,2607.0,115.0,93.0,17.0
AAA,2013J,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,1,2417.0,136.0,65.0,20.0
AAA,2013J,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,1,1018.0,42.0,58.0,6.0
AAA,2013J,M,Ireland,HE Qualification,?,35-55,0,60,N,1,1992.0,113.0,72.0,17.0
AAA,2013J,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,0,110.0,13.0,22.0,2.0
AAA,2013J,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,1,2366.0,96.0,94.0,14.0
AAA,2013J,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,1,578.0,71.0,36.0,11.0
AAA,2013J,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,1,1266.0,97.0,51.0,14.0
AAA,2013J,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,1,2702.0,77.0,85.0,11.0
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,1,536.0,39.0,42.0,6.0
AAA,2013J,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,1,3579.0,121.0,95.0,18.0
AAA,2013J,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,1,1606.0,145.0,68.0,21.0
AAA,2013J,M,London Region,HE Qualification,60-70%,0-35,0,60,N,1,936.0,45.0,55.0,7.0
AAA,2013J,M,Ireland,Post Graduate Qualification,?,35-55,0,60,N,1,3829.0,118.0,101.0,17.0
AAA,2013J,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,1,588.0,32.0,42.0,5.0
AAA,2013J,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,1,898.0,57.0,66.0,9.0
AAA,2013J,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,1,2026.0,113.0,85.0,17.0
AAA,2013J,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,1,2962.0,155.0,88.0,23.0
AAA,2013J,F,North Region,Post Graduate Qualification,?,35-55,0,60,N,1,638.0,32.0,37.0,5.0
AAA,2013J,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,1,1098.0,95.0,67.0,14.0
AAA,2013J,M,Wales,HE Qualification,0-10%,0-35,0,60,N,1,1593.0,87.0,72.0,13.0
AAA,2013J,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,1,1063.0,89.0,61.0,13.0
AAA,2013J,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,1,251.0,17.0,31.0,3.0
AAA,2013J,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,1,1816.0,109.0,71.0,16.0
AAA,2013J,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,1,1149.0,77.0,59.0,11.0
AAA,2013J,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,1,386.0,24.0,38.0,4.0
AAA,2013J,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,1,2502.0,113.0,83.0,17.0
AAA,2013J,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,1,4534.0,156.0,82.0,23.0
AAA,2013J,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,1,1437.0,74.0,70.0,11.0
