code_module,code_presentation,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,target,total_clicks,active_days,unique_vle_sites,active_weeks
AAA,2013J,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,1,934.0,40.0,55.0,6.0
AAA,2013J,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,1,1435.0,80.0,84.0,12.0
AAA,2013J,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,1,2155.0,120.0,82.0,18.0
AAA,2013J,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,1,1034.0,70.0,66.0,10.0
AAA,2013J,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,1,2438.0,137.0,88.0,20.0
AAA,2013J,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,1,1491.0,89.0,59.0,13.0
AAA,2013J,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,1,1416.0,103.0,66.0,15.0
AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,1,1894.0,122.0,76.0,18.0
AAA,2013J,M,North Region,Post Graduate Qualification,?,55<=,0,60,N,1,3157.0,141.0,80.0,21.0
AAA,2013J,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,1,1319.0,90.0,76.0,13.0
AAA,2013J,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,1,1731.0,119.0,74.0,17.0
AAA,2013J,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,1,1102.0,61.0,52.0,9.0
AAA,2013J,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,1,3386.0,146.0,98.0,21.0
AAA,2013J,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,1,2708.0,168.0,73.0,24.0
AAA,2013J,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,1,1053.0,46.0,63.0,7.0
AAA,2013J,M,Ireland,HE Qualification,?,35-55,0,60,N,1,2327.0,135.0,81.0,20.0
AAA,2013J,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,0,116.0,14.0,23.0,2.0
AAA,2013J,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,1,2992.0,122.0,100.0,18.0
AAA,2013J,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,1,680.0,86.0,44.0,13.0
AAA,2013J,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,1,1493.0,124.0,60.0,18.0
AAA,2013J,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,1,2833.0,88.0,91.0,13.0
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,1,744.0,52.0,47.0,8.0
AAA,2013J,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,1,4094.0,143.0,99.0,21.0
AAA,2013J,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,1,1941.0,175.0,75.0,25.0
AAA,2013J,M,London Region,HE Qualification,60-70%,0-35,0,60,N,1,1150.0,58.0,69.0,9.0
AAA,2013J,M,Ireland,Post Graduate Qualification,?,35-55,0,60,N,1,4773.0,159.0,106.0,23.0
AAA,2013J,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,1,733.0,47.0,50.0,7.0
AAA,2013J,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,1,998.0,70.0,68.0,10.0
AAA,2013J,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,1,2343.0,136.0,89.0,20.0
AAA,2013J,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,1,3548.0,194.0,92.0,28.0
AAA,2013J,F,North Region,Post Graduate Qualification,?,35-55,0,60,N,1,755.0,49.0,39.0,7.0
AAA,2013J,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,1,1356.0,118.0,86.0,17.0
AAA,2013J,M,Wales,HE Qualification,0-10%,0-35,0,60,N,1,1886.0,108.0,73.0,16.0
AAA,2013J,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,1,1108.0,98.0,64.0,14.0
AAA,2013J,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,1,281.0,25.0,35.0,4.0
AAA,2013J,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,1,2041.0,127.0,75.0,19.0
AAA,2013J,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,1,1321.0,89.0,64.0,13.0
AAA,2013J,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,1,520.0,32.0,47.0,5.0
AAA,2013J,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,1,2729.0,136.0,85.0,20.0
AAA,2013J,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,1,5528.0,192.0,86.0,28.0
AAA,2013J,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,1,1821.0,91.0,74.0,13.0
AAA,2013J,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,1,2121.0,95.0,84.0,14.0
AAA,2013J,F,South Region,HE Qualification,80-90%,35-55,0,60,N,1,5502.0,196.0,122.0,28.0
AAA,2013J,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,1,450.0,34.0,48.0,5.0
AAA,2013J,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,0,595.0,31.0,53.0,5.0
AAA,2013J,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,0,611.0,74.0,40.0,11.0
AAA,2013J,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,1,270.0,20.0,31.0,3.0
AAA,2013J,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,1,1529.0,81.0,59.0,12.0
AAA,2013J,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,1,3969.0,189.0,96.0,27.0
AAA,2013J,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,1,1405.0,87.0,62.0,13.0
AAA,2013J,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,1,460.0,50.0,41.0,8.0
AAA,2013J,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,1,1509.0,98.0,75.0,14.0
AAA,2013J,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,1,736.0,41.0,47.0,6.0
AAA,2013J,M,Ireland,HE Qualification,?,35-55,0,60,N,1,1938.0,134.0,84.0,20.0
AAA,2013J,F,Ireland,A Level or Equivalent,?,35-55,0,60,N,1,1772.0,78.0,85.0,12.0
AAA,2013J,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,1,6293.0,239.0,93.0,35.0
AAA,2013J,M,North Region,HE Qualification,?,35-55,0,60,N,1,4440.0,193.0,117.0,28.0
AAA,2013J,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,1,2016.0,97.0,60.0,14.0
AAA,2013J,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,0,138.0,17.0,17.0,3.0
AAA,2013J,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,1,2006.0,155.0,83.0,23.0
AAA,2013J,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,1,1975.0,116.0,83.0,17.0
AAA,2013J,M,London Region,A Level or Equivalent,10-20,0-35,0,180,N,1,964.0,58.0,69.0,9.0
AAA,2013J,M,South West Region,HE Qualification,80-90%,35-55,0,170,N,1,1311.0,146.0,90.0,21.0
AAA,2013J,M,London Region,HE Qualification,10-20,0-35,0,120,N,0,427.0,15.0,36.0,3.0
AAA,2013J,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,1,2109.0,97.0,133.0,14.0
AAA,2013J,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,1,8553.0,226.0,97.0,33.0
AAA,2013J,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,1,1541.0,84.0,75.0,12.0
AAA,2013J,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,1,3219.0,176.0,86.0,26.0
AAA,2013J,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,1,534.0,81.0,42.0,12.0
AAA,2013J,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,1,1661.0,125.0,106.0,18.0
AAA,2013J,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,0,333.0,32.0,35.0,5.0
AAA,2013J,F,London Region,A Level or Equivalent,10-20,35-55,0,60,N,1,2953.0,162.0,86.0,24.0
AAA,2013J,M,Ireland,HE Qualification,?,0-35,0,180,N,0,1193.0,67.0,59.0,10.0
AAA,2013J,M,London Region,HE Qualification,60-70%,0-35,0,60,N,1,227.0,37.0,24.0,6.0
AAA,2013J,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,1,445.0,38.0,45.0,6.0
AAA,2013J,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,1,614.0,50.0,45.0,8.0
AAA,2013J,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,1,1209.0,121.0,52.0,18.0
AAA,2013J,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,1,1839.0,86.0,67.0,13.0
AAA,2013J,M,Scotland,Post Graduate Qualification,90-100%,0-35,0,60,N,1,732.0,41.0,56.0,6.0
AAA,2013J,M,South Region,HE Qualification,90-100%,55<=,0,60,N,1,1935.0,162.0,92.0,24.0
AAA,2013J,M,London Region,HE Qualification,80-90%,0-35,0,80,N,1,321.0,26.0,33.0,4.0
AAA,2013J,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,1,427.0,44.0,48.0,7.0
AAA,2013J,M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,1,1889.0,133.0,77.0,19.0
AAA,2013J,F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,N,0,1825.0,116.0,77.0,17.0
AAA,2013J,M,London Region,HE Qualification,20-30%,35-55,0,60,N,1,654.0,55.0,81.0,8.0
AAA,2013J,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,1,1173.0,67.0,50.0,10.0
AAA,2013J,M,North Western Region,Lower Than A Level,20-30%,0-35,0,90,N,1,1946.0,189.0,64.0,27.0
AAA,2013J,M,Wales,Lower Than A Level,20-30%,35-55,0,60,N,1,2575.0,164.0,77.0,24.0
AAA,2013J,M,North Western Region,HE Qualification,10-20,0-35,0,120,N,1,1446.0,133.0,78.0,19.0
AAA,2013J,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,1,844.0,53.0,63.0,8.0
