code_module,code_presentation,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,target,total_clicks,active_days,unique_vle_sites,active_weeks
AAA,2013J,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,1,710.0,29.0,43.0,5.0
AAA,2013J,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,1,986.0,50.0,63.0,8.0
AAA,2013J,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,1,1382.0,75.0,61.0,11.0
AAA,2013J,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,1,799.0,47.0,52.0,7.0
AAA,2013J,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,1,1312.0,76.0,58.0,11.0
AAA,2013J,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,1,912.0,52.0,44.0,8.0
AAA,2013J,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,1,879.0,61.0,44.0,9.0
AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,1,1069.0,67.0,48.0,10.0
AAA,2013J,M,North Region,Post Graduate Qualification,?,55<=,0,60,N,1,1929.0,84.0,59.0,12.0
AAA,2013J,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,1,973.0,61.0,51.0,9.0
AAA,2013J,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,1,1100.0,69.0,49.0,10.0
AAA,2013J,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,1,861.0,42.0,37.0,6.0
AAA,2013J,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,1,2126.0,88.0,71.0,13.0
AAA,2013J,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,1,1835.0,92.0,51.0,14.0
AAA,2013J,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,1,665.0,32.0,50.0,5.0
AAA,2013J,M,Ireland,HE Qualification,?,35-55,0,60,N,1,1732.0,80.0,56.0,12.0
AAA,2013J,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,0,84.0,10.0,18.0,2.0
AAA,2013J,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,1,1853.0,68.0,79.0,10.0
AAA,2013J,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,1,512.0,54.0,35.0,8.0
AAA,2013J,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,1,923.0,68.0,41.0,10.0
AAA,2013J,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,1,2010.0,56.0,72.0,8.0
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,1,456.0,32.0,37.0,5.0
AAA,2013J,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,1,2609.0,81.0,75.0,12.0
AAA,2013J,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,1,1119.0,98.0,49.0,14.0
AAA,2013J,M,London Region,HE Qualification,60-70%,0-35,0,60,N,1,727.0,31.0,46.0,5.0
AAA,2013J,M,Ireland,Post Graduate Qualification,?,35-55,0,60,N,1,2376.0,77.0,77.0,11.0
AAA,2013J,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,1,405.0,21.0,35.0,3.0
AAA,2013J,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,1,575.0,43.0,51.0,7.0
AAA,2013J,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,1,1623.0,82.0,66.0,12.0
AAA,2013J,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,1,2290.0,115.0,68.0,17.0
AAA,2013J,F,North Region,Post Graduate Qualification,?,35-55,0,60,N,1,516.0,26.0,31.0,4.0
AAA,2013J,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,1,864.0,68.0,55.0,10.0
AAA,2013J,M,Wales,HE Qualification,0-10%,0-35,0,60,N,1,1081.0,53.0,48.0,8.0
AAA,2013J,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,1,884.0,63.0,50.0,9.0
AAA,2013J,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,1,203.0,14.0,28.0,2.0
AAA,2013J,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,1,1521.0,82.0,58.0,12.0
AAA,2013J,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,1,813.0,55.0,51.0,8.0
AAA,2013J,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,1,255.0,15.0,27.0,3.0
AAA,2013J,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,1,1577.0,74.0,59.0,11.0
AAA,2013J,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,1,3441.0,118.0,64.0,17.0
AAA,2013J,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,1,1139.0,49.0,57.0,7.0
AAA,2013J,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,1,1132.0,48.0,59.0,7.0
AAA,2013J,F,South Region,HE Qualification,80-90%,35-55,0,60,N,1,2867.0,104.0,98.0,15.0
AAA,2013J,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,1,290.0,22.0,31.0,4.0
AAA,2013J,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,0,457.0,22.0,41.0,4.0
AAA,2013J,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,0,513.0,55.0,28.0,8.0
AAA,2013J,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,1,66.0,12.0,13.0,2.0
AAA,2013J,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,1,924.0,48.0,46.0,7.0
AAA,2013J,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,1,2253.0,102.0,70.0,15.0
AAA,2013J,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,1,803.0,53.0,39.0,8.0
AAA,2013J,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,1,227.0,24.0,29.0,4.0
AAA,2013J,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,1,932.0,55.0,46.0,8.0
AAA,2013J,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,1,413.0,22.0,30.0,4.0
AAA,2013J,M,Ireland,HE Qualification,?,35-55,0,60,N,1,727.0,64.0,52.0,10.0
AAA,2013J,F,Ireland,A Level or Equivalent,?,35-55,0,60,N,1,593.0,32.0,49.0,5.0
AAA,2013J,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,1,3676.0,130.0,71.0,19.0
AAA,2013J,M,North Region,HE Qualification,?,35-55,0,60,N,1,3178.0,115.0,109.0,17.0
AAA,2013J,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,1,1555.0,66.0,44.0,10.0
AAA,2013J,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,0,112.0,11.0,14.0,2.0
AAA,2013J,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,1,1244.0,89.0,59.0,13.0
AAA,2013J,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,1,1230.0,71.0,57.0,11.0
AAA,2013J,M,London Region,A Level or Equivalent,10-20,0-35,0,180,N,1,490.0,30.0,46.0,5.0
AAA,2013J,M,South West Region,HE Qualification,80-90%,35-55,0,170,N,1,931.0,94.0,69.0,14.0
AAA,2013J,M,London Region,HE Qualification,10-20,0-35,0,120,N,0,427.0,15.0,36.0,3.0
AAA,2013J,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,1,1532.0,58.0,119.0,9.0
AAA,2013J,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,1,5234.0,133.0,75.0,19.0
AAA,2013J,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,1,922.0,43.0,54.0,7.0
AAA,2013J,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,1,1566.0,101.0,63.0,15.0
AAA,2013J,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,1,385.0,51.0,38.0,8.0
AAA,2013J,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,1,1160.0,75.0,81.0,11.0
AAA,2013J,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,0,305.0,19.0,33.0,3.0
